Species Tree Node	Duplications (all)	Duplications (50% support)
N9	1493	968
hydrophis_curtus-AG	363	363
hydrophis_elegans	491	491
N10	258	162
hydrophis_ornatus	352	352
hydrophis_major	1670	1670
N11	56	56
N3	573	84
pantherophis_guttatus	1183	1183
N7	2482	737
hydrophis_cyanocinctus	1371	1371
N8	329	329
hydrophis_curtus	1221	1221
N5	710	133
N1	1226	172
crotalus_tigris	1439	1439
N0	1361	478
python_bivittatus	1135	1135
thamnophis_elegans	1627	1627
protobothrops_mucrosquamatus	2053	2053
N2	299	299
pseudonaja_textilis	1027	1027
notechis_scutatus	1019	1019
N6	328	40
N4	51	51
